problem,test,status,time_ms,time_budget_ms,tier,correct,complete,optimal,time_alg_ms,time_cal_ms,note
tic-tac-toe,t01,OK,154,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t02,OK,41,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t03,OK,42,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t04,OK,41,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t05,OK,41,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t06,OK,41,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t07a,OK,41,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t07b,OK,40,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t07c,OK,41,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t07d,OK,41,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t07e,OK,40,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t07f,OK,39,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t07g,OK,40,2000,slow,true,true,,,0,(runs: 1/1 OK)
tic-tac-toe,t07h,OK,41,2000,slow,true,true,,,0,(runs: 1/1 OK)
